id,Unnamed: 0,propertyType,name,publishedOn,description,address,latitude,longitude,price,priceActual,priceMax,priceMin,livingRooms,beds,bedsMax,bedsMin,isRetirementHome,isSharedOwnership,studentFriendly,features
66742386,0,flat,1 bed flat to rent,2024-02-27T20:40:30,"Property Reference: 1995169.<br><br>🌟 Welcome! 🌟<br><br>Your Ideal Temporary Residence Awaits!<br><br>Explore our apartment at MaiaStays Bath for more details.<br><br>➞ An ideal solution for international students seeking stability while house hunting.<br><br>➞ Need last-minute/emergency accommodation?<br><br>➞ Short-term work assignment in the area?<br><br>➞ Planning a UK or international move?<br><br>➞ Business travellers or contractors on the go?<br><br>Discover the Advantages of MaiaStays:<br><br>Please note that our properties are exclusively available for short-term rentals and are not suitable for long-term leases. To learn more and reserve your stay, please write us a message.<br><br>Fully Furnished 1-Bed Apartment: Step into a fully furnished and equipped place with all your needs.<br><br>All Bills Included: Simplify your stay with all-inclusive billing.<br><br>Fully Equipped Kitchen: Cook effortlessly in our fully stocked kitchen.<br><br>Comfortable Bedroom: Rest peacefully in our Bedroom with a Queen Bed (160x200) and King Size Bedding<br><br>International Student Friendly: Feel at home while searching for permanent housing.<br><br>Clean Bathrooms with Bathtub and Washing Machine.<br><br>Professional Cleaning: Enjoy a spotless environment with our regular cleaning services.<br><br>🌐 Free Unlimited Wifi: Stay connected with high-speed internet access during your stay.<br><br>🚗 Parking: Convenient parking facilities for your peace of mind.<br><br>🏠 Ideal for Various Needs: Perfect for relocations, group contractors, or transitional stays.<br><br>✅ Flexible Stays: Weekly, monthly, or quarterly stays available.<br><br>📞 Contact today to secure your perfect temporary home! Experience a hassle-free and comfortable stay with us.<br><br><strong>Summary &amp; Exclusions:</strong><br>- Rent Amount: £2,700.00 per month (£623.08 per week)<br>- Deposit / Bond: £200.00<br>- 1 Bedrooms<br>- 1 Bathrooms<br>- Property comes furnished<br>- Available to move in from 13 April, 2024<br>- Minimum tenancy term is 1 months<br>- Maximum number of tenants is 2<br>- Students welcome to enquire<br>- No Pets, sorry<br>- No Smokers<br>- Family Friendly<br>- <strong>Bills Included</strong><br>- Property has parking<br>- Property has garden access<br>- EPC Rating: D<br><br><strong> If calling, please quote reference: 1995169 </strong><br><br><strong>Fees:</strong><br>You will <strong>not</strong> be charged any admin fees.<br><br>** Contact today to book a viewing and have the landlord show you round! **<br>Request Details form responded to 24/7, with phone bookings available 9am-9pm, 7 days a week.<br><br><i>OpenRent endeavours to make all property particulars as accurate and reliable as possible, however if you require any further clarification or information please contact us. When applying for a tenancy using the Rent Now process, you will be required to pay one month's rent and any deposit before moving in. This will be paid to OpenRent and released to the landlord once you have moved in. With OpenRent there are no administration fees to pay. </i><br><br><i>Property Reference one million nine hundred and ninety-five thousand one hundred and sixty-nine</i>","Kensington Court, Bath BA1",51.393171,-2.350283,2700,2700,2750,2500,0,1,1,1,False,False,False,"['No Agent Fees', 'Students Can Enquire', 'Bills Included', 'Property Reference Number: 1995169']"
66977057,1,terraced,2 bed property to rent,2024-03-27T13:47:26,"**Zero Deposit Guarantee Available**<br>Holding Deposit: 334.00<br><strong>summary</strong><br>more photos to follow!<br><br>Discover urban living at its finest in this charming two-bedroom townhouse nestled in the heart of Bath’s vibrant city centre. Boasting two elegantly appointed bathrooms, this residence offers both comfort and convenience.<br><br>Step inside to find a meticulously designed interior that seamlessly blends contemporary style with classic charm. The spacious living area welcomes you with abundant natural light, creating a warm and inviting atmosphere perfect for relaxation or entertaining guests.<br><br>Upstairs, two generously sized bedrooms await, each offering a tranquil retreat from the bustling city outside. Complete with luxurious fixtures and finishes.<br><br>Outside, a rare amenity awaits with not one, but two dedicated parking spaces, ensuring hassle-free convenience for residents with vehicles. Additionally, the property benefits from its prime location within walking distance of Bath’s renowned attractions, including its historic landmarks, cultural venues, and bustling shopping districts.<br><br>Don’t miss the opportunity to experience the best of city living in this exquisite townhouse. Schedule your viewing today and envision yourself calling this stunning property home.<br><br>Available April<br><br><strong>description</strong><br>more photos to follow!<br><br>Discover urban living at its finest in this charming two-bedroom townhouse nestled in the heart of Bath’s vibrant city centre. Boasting two elegantly appointed bathrooms, this residence offers both comfort and convenience.<br><br>Step inside to find a meticulously designed interior that seamlessly blends contemporary style with classic charm. The spacious living area welcomes you with abundant natural light, creating a warm and inviting atmosphere perfect for relaxation or entertaining guests.<br><br>Upstairs, two generously sized bedrooms await, each offering a tranquil retreat from the bustling city outside. Complete with luxurious fixtures and finishes.<br><br>Outside, a rare amenity awaits with not one, but two dedicated parking spaces, ensuring hassle-free convenience for residents with vehicles. Additionally, the property benefits from its prime location within walking distance of Bath’s renowned attractions, including its historic landmarks, cultural venues, and bustling shopping districts.<br><br>Don’t miss the opportunity to experience the best of city living in this exquisite townhouse. Schedule your viewing today and envision yourself calling this stunning property home.<br><br>Available April<br><br>While every reasonable effort is made to ensure the accuracy of descriptions and content, we should make you aware of the following guidance or limitations. <br> <br>(1) money laundering regulations – prospective tenants will be asked to produce identification documentation during the referencing process and we would ask for your co-operation in order that there will be no delay in agreeing a tenancy. <br>(2) These particulars do not constitute part or all of an offer or contract. <br>(3) The text, photographs and plans are for guidance only and are not necessarily comprehensive. <br>(4) Measurements: These approximate room sizes are only intended as general guidance. You must verify the dimensions carefully to satisfy yourself of their accuracy. <br>(5) You should make your own enquiries regarding the property, particularly in respect of furnishings to be included/excluded and what parking facilities are available. <br>(6) Before you enter into any tenancy for one of the advertised properties, the condition and contents of the property will normally be set out in a tenancy agreement and inventory. Please make sure you carefully read and agree with the tenancy agreement and any inventory provided before signing these documents.","Circus Mews, Bath BA1",51.387067,-2.364506,1450,1450,1500,1250,1,2,2,2,False,False,False,"['2 Bedroom Property', 'City Centre Location', '2 Parking Spaces', 'Available April']"
66990268,2,semi_detached,5 bed semi-detached house to rent,2024-03-28T16:03:26,"Porch • Entrance Hall • Reception hall • Stair hall • Cloakroom • Study • Drawing room • Withdrawing room • Conservatory • Kitchen/Breakfast room • Dining room • Utility area • Plant room • Wine cellar<br>Principal bedroom with en suite bath/shower room • Two further en suite bedrooms • Two further bedrooms • Family bathroom • EPC band D<br>Front garden with parking for two to three cars • Landscaped southwest-facing rear garden with summer house<br><strong>Description</strong><br><br>This four-storey Grade ii-listed semi-detached Georgian villa was built around 1820 and has recently undergone an extensive and exacting programme of works, including a new slate and lead roof creating an exceptional family home in an excellent location.<br>The house has just been superbly renovated to exacting standards, with the sense of light, space and design is seldom seen in Bath. The period features are extensive and include original Georgian cornicing with lower friezes, sash windows and marble fireplaces.<br>No attention to detail has been spared by Concept Interior Design and Greengauge Mechanical Engineers with the latest technology, including, Solar panels, fast electric car charger, insulation, underfloor heating powered by airsource energy, contemporary lighting, audiovisual equipment, and integrated high-end appliances providing the highest specification.<br>The kitchen is breathtaking, having been opened into the original vaults to the front, with three large remote controlled roof lights which flood the kitchen with light, and the warmth of an Everhot oven creates a wonderful open plan family area, perfect for entertaining, opening through to the dining room, and then directly onto the enormous terrace and garden. Off the hall on this level is the original wine cellar, and vaults, now a functional utility room, plant room and additional storage area.<br>The ground floor has a welcoming reception hall with original bath stone flooring, leading past a cloakroom and W.C. To a large study. A door leads through to the stair hall and to an open-plan drawing room with a bay window and withdrawing room. Off the living room is a lovely conservatory showing off the incredible views across Bath to the hills in the distance, as far as Wells. This would be an incredible yoga space.<br>The two floors above offer large bedrooms, the main bedroom opening through to a huge en suite bathroom with a large shower cubicle; the views from the bath are the same as the conservatory below, magnificent! All the bedrooms are of a good size, two more having en suites, with the last two serviced by a family bathroom.<br>The front garden has been opened to allow for car parking, surrounded by hedge and shrub borders.<br>The rear garden, facing southwest, again with the amazing views, is terraced from the house, with a covered area for wetter days, and a gravel path leads alongside the large level lawn past an ancient Gingko Tree to a summerhouse at the end of the garden with a further terrace for al fresco dining.<br><strong>Situation</strong><br><br>The area of Lansdown is a conservation area on the northern slopes of Bath; it is notable for many reasons. A variety of period homes, blending with more recently built contemporary homes, all taking advantage of the excellent schools, including Royal High, Kingswood, and St Stephens Church of England primary, within walking distance. The nearby countryside offers wonderful walks, including the Fosse Way, adding to the appeal of this position in the city.<br>Bath is a World Heritage Site, well known for its Georgian architecture and Roman heritage. Bath Spa railway station provides direct services to London and the west. Bristol International Airport is only 20 miles away, and the M4 Junction 18 is just 10 miles north. Available unfurnished from the 29th March 2024. Council Tax Band G. EPC Band D.<br>Holding deposit of one week's rent (to be deducted from first month's rent) = £2,307.69<br>Six weeks' rent deposit (nha) = £13,846.15<br><strong>Additional information</strong><br><br>Services: All main services are connected<br>Council Tax: Band G<br>EPC: Band D<br>Viewing: Strictly by appointment with Carter Jonas'<br><br>Six weeks","Springfield Place, Bath, Somerset BA1",51.393226,-2.364527,10000,10000,10000,10000,6,5,5,5,False,False,False,"['Exquisite refurbishment of substantial house', 'Excellent Lansdown location', 'Close to some of the best schools in Bath', 'Far reaching views', 'South West facing garden', 'Off street parking with super fast car charging']"
67088749,3,terraced,3 bed property to rent,2024-04-11T15:18:07,"Holding Deposit: 380.00<br><strong>summary</strong><br>bricklane, in partnership with allen and harris presents.<br><br>Located on the south side of Bath this three bedroom mid terraced home is located at the end of Freeview Road with the local Innox Park just a moments walk away The property comes unfurnished and is available immediately.<br><br>Local amenities on the High Street and the Lower Bristol Road are situated nearby which offer a variety of different shops, local schools including Twerton Infants School and St Michaels Junior school only a short walk away. There are also long stretching countryside walks right on your doorstep including the well known Bath City Farm. Found on the more western side of Bath, there are great links to Bristol for commuters and good easy access to Bath town centre and Bath Spa train station within three miles.<br><br>This property can be rented furnished or unfurnished and if you choose for it to be furnished it will be furnished with beautiful loft furniture throughout (*This will be for an extra monthly charge).<br><br>£25.00 pcm for pets (if applicable)<br><br>£200pcm extra required if furnished.<br><br><strong>Description</strong><br>bricklane, in partnership with allen and harris presents.<br><br>Located on the south side of Bath this three bedroom mid terraced home is located at the end of Freeview Road with the local Innox Park just a moments walk away The property comes unfurnished and is available immediately.<br><br>Local amenities on the High Street and the Lower Bristol Road are situated nearby which offer a variety of different shops, local schools including Twerton Infants School and St Michaels Junior school only a short walk away. There are also long stretching countryside walks right on your doorstep including the well known Bath City Farm. Found on the more western side of Bath, there are great links to Bristol for commuters and good easy access to Bath town centre and Bath Spa train station within three miles.<br><br>This property can be rented furnished or unfurnished and if you choose for it to be furnished it will be furnished with beautiful loft furniture throughout (*This will be for an extra monthly charge).<br><br>£25.00 pcm for pets (if applicable)<br><br>£200pcm extra required if furnished.<br><br>While every reasonable effort is made to ensure the accuracy of descriptions and content, we should make you aware of the following guidance or limitations. <br> <br>(1) money laundering regulations – prospective tenants will be asked to produce identification documentation during the referencing process and we would ask for your co-operation in order that there will be no delay in agreeing a tenancy. <br>(2) These particulars do not constitute part or all of an offer or contract. <br>(3) The text, photographs and plans are for guidance only and are not necessarily comprehensive. <br>(4) Measurements: These approximate room sizes are only intended as general guidance. You must verify the dimensions carefully to satisfy yourself of their accuracy. <br>(5) You should make your own enquiries regarding the property, particularly in respect of furnishings to be included/excluded and what parking facilities are available. <br>(6) Before you enter into any tenancy for one of the advertised properties, the condition and contents of the property will normally be set out in a tenancy agreement and inventory. Please make sure you carefully read and agree with the tenancy agreement and any inventory provided before signing these documents.","Freeview Road, Twerton, Bath BA2",51.378308,-2.395314,1650,1650,1750,1500,0,3,3,3,False,False,False,"['3 Bedroom Property', 'Available Now', 'Twerton Location', 'Bricklane property']"
67101913,4,flat,2 bed flat to rent,2024-04-12T19:48:42,"Property Reference: 314141.<br><br>Flat at the Moorlands on Englishcombe Lane will be available to rent from 1st May 2024.<br>Features include:<ul><li>2 double bedrooms</li><li>2 bathrooms (one en-suite)</li><li>Open plan kitchen / dining area</li><li>Comfortable living room</li><li>Enormous, quiet communal gardens to enjoy</li><li>Patio doors from the living room</li><li>Private parking</li><li>The whole property is gated so peace and privacy are optimal</li></ul>The flat will be part-furnished with:<br><ul><li>One double bed</li><li>One three-person sofa</li><li>Ikea storage units</li><li>Other bits and pieces</li></ul>(these items can be removed if not needed)<br><br>6 months minimum term.<br><br>Viewings welcome - please contact us to arrange.<br><br><strong>Summary &amp; Exclusions:</strong><br>- Rent Amount: £1,100.00 per month (£253.85 per week)<br>- Deposit / Bond: £1,100.00<br>- 2 Bedrooms<br>- 2 Bathrooms<br>- Property comes furnished<br>- Available to move in from 01 May, 2024<br>- Minimum tenancy term is 6 months<br>- Maximum number of tenants is 2<br>- No Students<br>- No Pets, sorry<br>- No Smokers<br>- Family Friendly<br>- Bills not included<br>- Property has parking<br>- Property has garden access<br>- EPC Rating: C<br><br><strong> If calling, please quote reference: 314141 </strong><br><br><strong>Fees:</strong><br>You will <strong>not</strong> be charged any admin fees.<br><br>** Contact today to book a viewing and have the landlord show you round! **<br>Request Details form responded to 24/7, with phone bookings available 9am-9pm, 7 days a week.<br><br><i>OpenRent endeavours to make all property particulars as accurate and reliable as possible, however if you require any further clarification or information please contact us. When applying for a tenancy using the Rent Now process, you will be required to pay one month's rent and any deposit before moving in. This will be paid to OpenRent and released to the landlord once you have moved in. With OpenRent there are no administration fees to pay. </i><br><br><i>Property Reference three hundred and fourteen thousand one hundred and forty-one</i>","The Moorlands, Bath BA2",51.369482,-2.377655,1100,1100,1250,1000,0,2,2,2,False,False,False,"['No Agent Fees', 'Property Reference Number: 314141']"
66788732,5,flat,2 bed flat to rent,2024-03-05T00:04:33,"<strong>Description</strong><br><br>A very well presented two bedroom top floor apartment overlooking the gardens of The Grange.<br><br>Flat 8 comprises; a modern, newly fitted kitchen with integrated appliances, a separate living room with a balcony overlooking Bath Skyline, two double bedrooms and a recently renovated bathroom.<br><br>Available on an unfurnished basis, from March.<br><br>Council Tax Band: D<br>Deposit: £2,134.61<br>Holding Deposit: £426.92","Flat 8, The Grange, Weston Park West, Bath BA1",51.394292,-2.382138,1750,1750,1750,1750,1,2,2,2,False,False,False,"['Access to the communal garden', 'Available March', 'Off street parking', 'Two bedrooms']"
67056843,6,semi_detached,4 bed semi-detached house to rent,2024-04-08T14:13:51,"Four bedroom family home with front and back gardens, double garage, and off-street parking. Available from the 15th May 2024 and offered unfurnished. Pets considered<br><br>This family home is located on Wellsway, 2.4 miles from Bath city centre and close to local Odd Down shops including a Sainsbury's. The property is set back from the road, with a front garden and hedges offering privacy, and access from a side gate on Mendip Gardens.<br><br>You enter the property to a hallway, which leads through the reception room. This flexible space has plenty of room for a living space, with an alcove ideal for a reading nook, and double doors leading to the dining area. The kitchen / diner is at the back of the house, with windows overlooking the garden, and with space for a dining table and chairs. White goods including a dishwasher, fridge / freezer, and oven / hob are included; an adjacent utility room includes a washing machine, and has side access to the property. A WC is accessed from utility room. There is also a home office downstairs, with a bay window and fitted storage.<br><br>Ascending to the first floor, there are four bedrooms; three doubles, and a single. The master bedroom has an en-suite shower room, and there is a family bathroom.<br><br>The property would ideally suit a family or a couple looking for extra space. It is offered unfurnished, and will be available from the 15th May 2024.","Wellsway, Bath BA2",51.3554,-2.38193,2100,2100,2250,2000,2,4,4,4,False,False,False,"['Four bedroom family home', 'Garage with off-street parking', 'Front and back gardens', 'Unfurnished', 'Gas central heating and double glazing', 'Council tax band C', 'Pets considered']"
62248461,7,flat,2 bed flat to rent,2024-04-04T13:01:17,"**Zero Deposit Guarantee Available**<br>Holding Deposit: 351.00<br><strong>summary</strong><br>A fabulous two double bedroom first floor apartment situated on the ever popular Grosvenor Place.<br><br>This lovely apartment comprises of spacious private entrance hall, living/ dining room with a balcony and lovely views, two good sized bedrooms, kitchen and bathroom. The property also benefits from gas central heating.<br><br>Also close by are the highly regarded shops, schools and other amenities in Larkhall, including delicatessen/cafes, outstanding butcher, florist, convenience store, post office and Rondo Theatre. The M4 can be reached without crossing the city.<br><br>Available May<br><br><strong>description</strong><br>A fabulous two double bedroom first floor apartment situated on the ever popular Grosvenor Place.<br><br>This lovely apartment comprises of spacious private entrance hall, living/ dining room with a balcony and lovely views, two good sized bedrooms, kitchen and bathroom. The property also benefits from gas central heating.<br><br>Also close by are the highly regarded shops, schools and other amenities in Larkhall, including delicatessen/cafes, outstanding butcher, florist, convenience store, post office and Rondo Theatre. The M4 can be reached without crossing the city.<br><br>Available May<br><br>While every reasonable effort is made to ensure the accuracy of descriptions and content, we should make you aware of the following guidance or limitations. <br> <br>(1) money laundering regulations – prospective tenants will be asked to produce identification documentation during the referencing process and we would ask for your co-operation in order that there will be no delay in agreeing a tenancy. <br>(2) These particulars do not constitute part or all of an offer or contract. <br>(3) The text, photographs and plans are for guidance only and are not necessarily comprehensive. <br>(4) Measurements: These approximate room sizes are only intended as general guidance. You must verify the dimensions carefully to satisfy yourself of their accuracy. <br>(5) You should make your own enquiries regarding the property, particularly in respect of furnishings to be included/excluded and what parking facilities are available. <br>(6) Before you enter into any tenancy for one of the advertised properties, the condition and contents of the property will normally be set out in a tenancy agreement and inventory. Please make sure you carefully read and agree with the tenancy agreement and any inventory provided before signing these documents.","Grosvenor Place, Larkhall, Bath BA1",51.394074,-2.345863,1525,1525,1750,1500,1,2,2,2,False,False,False,"['Grosvenor Place', '2 double Bedrooms', 'First Floor Apartment', 'Private Balcony', 'Unfurnished', 'Gas Central Heating', 'Council Tax Band C', 'EPC : D']"
43215718,8,semi_detached,3 bed semi-detached house to rent,2024-03-19T10:46:42,"A lovely 2/3 bedroom house situated on outskirts of the Georgian City of Bath.<br><br>One living room, kitchen, bathroom, garden &amp; patio, free parking for two cars, two double bedrooms and one box room / study.<br><br>Ideal for a family or couples sharing.<br><br>Easy access to the M4 motorway without traveling through city centre.<br><br>25 minutes walk to city centre. Bus stop 2 minutes from property, and busses run every 10 minutes<br><br>Local shops &amp; Royal united hospital 2 minutes from property.<br><br>No passing traffic as property is situated in a cul-de-sac.<br><br>** how to arrange A viewing: The quickest way to enquire about this property is to register your interest via the enquiry button on this website. Well send you an email a moment later with an online enquiry form for you to complete. The landlord will then contact you directly to arrange your viewing **<br><br>Deposit £1,673<br><br>Students considered.<br><br>Sorry, no pets or company lets.<br><br>Energy Efficiency Rating: 51, Band – E<br><br>Council Tax Band - C<br><br>Please note, by submitting an enquiry regarding this property you agree that we may send your details to the landlord of this property so they may contact you in order to answer any questions, or arrange a convenient viewing time. Strictly no agent or sub-letting calls.","Wellington Buildings, Bath BA1",51.39752,-2.39075,1450,1450,1500,1250,1,3,3,3,False,False,False,"['Shops and Amenities Nearby', 'Close To Bus Routes', 'South Facing Patio and Garden', 'Close to Rail Links', 'Cul De Sac Location', 'Easy Access to Major Road Networks', 'Located Close To Hospital', 'Short Drive to City Centre', 'Free Parking for Two Cars']"
66952194,9,bungalow,4 bed bungalow to rent,2024-03-25T10:51:27,"**Zero Deposit Guarantee Available**<br>Holding Deposit: 807.00<br><strong>summary</strong><br>Welcome to this stunning 4-bedroom detached bungalow nestled in the heart of Bath, boasting impeccable finishes throughout. Upon entry, you’re greeted by a spacious living area, seamlessly flowing into a modern kitchen, ideal for entertaining. The property features four generously sized double bedrooms, each offering comfort and privacy, with two luxurious en-suite bathrooms and two additional bathrooms for added convenience. Enjoy the ultimate peace of mind with secure private gated parking, ensuring your vehicles are always safe. Located within walking distance of Oldfield Park rail station and offering excellent bus routes to the city centre, this home combines convenience with luxury living, making it a truly exceptional opportunity to experience Bath’s finest lifestyle.<br><br>Available April<br><br><strong>description</strong><br>Welcome to this stunning 4-bedroom detached bungalow nestled in the heart of Bath, boasting impeccable finishes throughout. Upon entry, you’re greeted by a spacious living area, seamlessly flowing into a modern kitchen, ideal for entertaining. The property features four generously sized double bedrooms, each offering comfort and privacy, with two luxurious en-suite bathrooms and two additional bathrooms for added convenience. Enjoy the ultimate peace of mind with secure private gated parking, ensuring your vehicles are always safe. Located within walking distance of Oldfield Park rail station and offering excellent bus routes to the city centre, this home combines convenience with luxury living, making it a truly exceptional opportunity to experience Bath’s finest lifestyle.<br><br>Available April<br><br>While every reasonable effort is made to ensure the accuracy of descriptions and content, we should make you aware of the following guidance or limitations. <br> <br>(1) money laundering regulations – prospective tenants will be asked to produce identification documentation during the referencing process and we would ask for your co-operation in order that there will be no delay in agreeing a tenancy. <br>(2) These particulars do not constitute part or all of an offer or contract. <br>(3) The text, photographs and plans are for guidance only and are not necessarily comprehensive. <br>(4) Measurements: These approximate room sizes are only intended as general guidance. You must verify the dimensions carefully to satisfy yourself of their accuracy. <br>(5) You should make your own enquiries regarding the property, particularly in respect of furnishings to be included/excluded and what parking facilities are available. <br>(6) Before you enter into any tenancy for one of the advertised properties, the condition and contents of the property will normally be set out in a tenancy agreement and inventory. Please make sure you carefully read and agree with the tenancy agreement and any inventory provided before signing these documents.","Englishcombe Lane, Bath BA2",51.367567,-2.388786,3500,3500,3500,3500,2,4,4,4,False,False,False,"['4 Bedroom Bungalow', 'Finished to A High Standard', 'Secured Gated Parking', 'Open Planned Living', 'Close to Local Schools']"
