,0
0,67101913
1,67088749
2,67084955
3,67078951
4,67065542
5,56162499
6,67063330
7,67061723
8,44210470
9,67058415
10,67056843
11,67051281
12,67048681
13,67048478
14,67033101
15,67032898
16,67029717
17,62248461
18,67029337
19,67029286
20,52928988
21,67019617
22,65165164
23,67004360
24,66999793
25,66989195
26,66977057
27,66974324
28,66968486
29,51376713
30,66952194
31,66938518
32,66913466
33,66907880
34,43215718
35,66889490
36,66885090
37,62489677
38,66877187
39,66875540
40,66872721
41,41518489
42,66853679
43,66815406
44,62061005
45,65373392
46,65682053
47,66792612
48,66788732
49,66780504
50,66750387
51,66735071
52,66729434
53,66712717
54,66689898
55,66689533
56,66616724
57,66607883
58,66581813
59,66510594
60,51376725
61,55069688
62,66313215
63,66239349
64,53918792
65,52599675
66,65802986
67,65753003
68,64786420
