,id,url,propertyType,name,publishedOn,uuid,postalCode,description,address,listingCondition,listingStatus,latitude,longitude,category,price,priceActual,priceMax,priceMin,sqft,livingRooms,beds,bedsMax,bedsMin,baths,isRetirementHome,isSharedOwnership,studentFriendly,images,features,additionalLinks,floorPlan,agentAddress,agentName,agentPhone,availableFrom,floorArea
0,65747944,https://www.zoopla.co.uk/to-rent/details/65747944/,bungalow,1 bed bungalow to rent,2024-04-12T20:36:04,5DF8E061-8B77-4243-8C05-7A0A853F94E0,BS13 8QD,"** Zero Deposit Guarantee Available **<br>Lodge available for rent, featuring a one bedroom with a double bed.<br>The lodge comes fully furnished, with a kitchen/dining area equipped with white goods.<br>A shower is included in the bathroom. Convenient parking is also provided.<br><br>Call Taylors today!<br><br>Available now Council Tax Band: C Holding Deposit: £253.00","Queens Road, Bristol BS13",pre-owned,to_rent,51.406242,-2.621845,residential,1100.0,1100.0,1250.0,1000.0,,0.0,1.0,1.0,1.0,1,False,False,False,"['https://lid.zoocdn.com/u/2400/1800/82f65c9799781533685e3b106d85af03a44410df.jpg', 'https://lid.zoocdn.com/u/2400/1800/5b0b34ccdc52cbfab79b9f08e96d512b7cb4c36c.jpg', 'https://lid.zoocdn.com/u/2400/1800/c66d40550727e648a1a0039b959e8ec15b72e9ef.jpg', 'https://lid.zoocdn.com/u/2400/1800/75e914ca7c7b974fa169889987a179ebe179c50d.jpg', 'https://lid.zoocdn.com/u/2400/1800/a427dbcf6562b7a074487bfcc39f74142fa7f18d.jpg', 'https://lid.zoocdn.com/u/2400/1800/5922db8236d5bb0b3a290e3478e5b537938c613d.jpg']","['One bedroom', 'Lodge', 'Furnished', 'Modern', 'White goods', 'Shared bills', 'Off street parking', 'Available now', 'Council tax band: C']",[],[],"14-16 North Street, Bedminster",Taylors - Bedminster Lettings,0117 301 7294,2024-04-12T00:00:00,
1,67022742,https://www.zoopla.co.uk/to-rent/details/67022742/,terraced,2 bed terraced house to rent,2024-04-03T16:34:09,33BA1556-12E5-44ED-ADD9-7EE1D9BF7629,BS32 9BU,"This superb two bedroom house located in sought after road in Bradley Stoke. The property is offered unfurnished and comprises of a modern kitchen (with washing machine and oven/hob), spacious living room and garden with sun room. Upstairs there are two double bedrooms (both with built in wardrobes) and a family bathroom with a shower over the bath. Extra benefits include a driveway for two cars and gas central heating.<br><br>Dewfalls Drive is a popular road in Bradley Stoke due to its proximity to the local amenities. The Willow Brook shopping centre in Bradley Stoke is only 0.5 mile away, with a great choice of shops and restaurants. Bradley Stoke leisure centre is also next to the Willow Brook Centre. There are regular buses running to lots of destinations, including Bristol city centre and Cribbs causeway. Parkway train station is also only 1.9 miles away.<br><br>• Council tax band: B<br>• Rent: £1250 pcm<br>• Damage deposit: £1350<br>• Holding deposit: £288<br>• Available now<br>• No smokers&lt;br /&gt;&lt;br /&gt;","Dewfalls Drive, Bradley Stoke, Bristol BS32",pre-owned,to_rent,51.537306,-2.552103,residential,1250.0,1250.0,1250.0,1250.0,,1.0,2.0,2.0,2.0,1,False,False,False,"['https://lid.zoocdn.com/u/2400/1800/2573a8005417a1e13b3e7d396ebc24df3f81d207.jpg', 'https://lid.zoocdn.com/u/2400/1800/bf82917e7e34aab90e4bfc62b17cca1f8fb4157f.jpg', 'https://lid.zoocdn.com/u/2400/1800/b19be5ddd62ef88f0898ca45b30224b5d16a4fb8.jpg', 'https://lid.zoocdn.com/u/2400/1800/c3805cd6bd6e19964200b8a48837a00a38be63b9.jpg', 'https://lid.zoocdn.com/u/2400/1800/134acb403dd6bb010c08a0a01fc9589eb5c9ba18.jpg', 'https://lid.zoocdn.com/u/2400/1800/5284fe283b54af2c959011b7cce639c505d7e831.jpg', 'https://lid.zoocdn.com/u/2400/1800/8d251968bbb613263f5af37699d67e29915ca232.jpg', 'https://lid.zoocdn.com/u/2400/1800/f39eee5c5b483b7de1ebf5fc27a4a789b3552734.jpg', 'https://lid.zoocdn.com/u/2400/1800/51b3d71edab1bf570ac2e82e02a719de38d3419a.jpg', 'https://lid.zoocdn.com/u/2400/1800/5aeb5950e7c53939665d74f5a07fb2b6e1c8fe16.jpg', 'https://lid.zoocdn.com/u/2400/1800/ec1cad12e4ec0f252b5641c4398e8ba04d0df3aa.jpg', 'https://lid.zoocdn.com/u/2400/1800/033cfd31b2fba0595d333d1264942b0460714595.jpg']",[],[],[],"Suite 3, The Mall, Willow Brook Centre, Savages Wood Road, Bradley Stoke, Bristol",CJ Hole Bradley Stoke,01454 558950,2024-04-02,
2,66939589,https://www.zoopla.co.uk/to-rent/details/66939589/,flat,1 bed flat to rent,2024-03-22T13:02:52,5B83AD58-994E-44D2-92A3-B85AC033D161,BS6 6BP,"Property Reference: 1933166.<br><br>We are proud to offer this delightful 1 bedroom, 1 bathroom flat in a great location.<br><br>Available to move in from 06 April 2024, this property benefits from garden access. Property is offered furnished or unfurnished (tenant can decide).<br><br>Viewing highly recommended. Contact OpenRent today for more details or to arrange a viewing!<br><br><strong>Summary</strong><br><br>Rent £1,100.00 per month (£253.85 per week)<br>Deposit / Bond is £761.53<br><br>Minimum tenancy is 1 months<br>Maximum number of tenants is 1<br><br><strong>Summary &amp; Exclusions:</strong><br>- Rent Amount: £1,100.00 per month (£253.85 per week)<br>- Deposit / Bond: £761.53<br>- 1 Bedrooms<br>- 1 Bathrooms<br>- Property comes furnished or unfurnished (tenant can decide)<br>- Available to move in from 13 April, 2024<br>- Minimum tenancy term is 1 months<br>- Maximum number of tenants is 1<br>- Students welcome to enquire<br>- Pets considered / by arrangement<br>- Smokers considered<br>- Not Suitable for Families / Children<br>- <strong>Bills Included</strong><br>- No Parking Available<br>- Property has garden access<br>- EPC Rating: B<br><br><strong> If calling, please quote reference: 1933166 </strong><br><br><strong>Fees:</strong><br>You will <strong>not</strong> be charged any admin fees.<br><br>** Contact today to book a viewing and have the landlord show you round! **<br>Request Details form responded to 24/7, with phone bookings available 9am-9pm, 7 days a week.<br><br><i>OpenRent endeavours to make all property particulars as accurate and reliable as possible, however if you require any further clarification or information please contact us. When applying for a tenancy using the Rent Now process, you will be required to pay one month's rent and any deposit before moving in. This will be paid to OpenRent and released to the landlord once you have moved in. With OpenRent there are no administration fees to pay. </i><br><br><i>Property Reference one million nine hundred and thirty-three thousand one hundred and sixty-six</i>","Ravenswood Road, Bristol BS6",pre-owned,to_rent,51.466197,-2.601384,residential,1100.0,1100.0,1250.0,1000.0,,0.0,1.0,1.0,1.0,1,False,False,False,"['https://lid.zoocdn.com/u/2400/1800/49cca4cd4e07fb373d4bcb59b6e3f8ec6a85b925.jpg', 'https://lid.zoocdn.com/u/2400/1800/d3c58e0327c16b083af1ca46f8d9dfd97c4274e4.jpg', 'https://lid.zoocdn.com/u/2400/1800/93c2721d89ccbe6401967763bee86b70a69a92c1.jpg']","['No Agent Fees', 'Students Can Enquire', 'Bills Included', 'Property Reference Number: 1933166']",[],[],"20 Wenlock Road, London",OpenRent,020 3542 2178,2024-04-13T00:00:00,
3,42560270,https://www.zoopla.co.uk/to-rent/details/42560270/,terraced,1 bed terraced house to rent,2024-01-12T12:13:21,A0A92790-7AA0-4F40-9121-488DD3EC253E,BS30 8GQ,One bedroom terrace house. Kitchen with built in oven. There is space in the kitchen for your own washing machine and fridge freezer. Lounge. Off the lounge is a conservatory. Easy maintainable garden. Double size bedroom. Bathroom with shower over the bath. Vanity are off the landing. No smokers and no pets. Good location for public transport and local amenities,"Muirfield, Bristol BS30",pre-owned,to_rent,51.453375,-2.484945,residential,900.0,900.0,900.0,900.0,,1.0,1.0,1.0,1.0,1,False,False,False,"['https://lid.zoocdn.com/u/2400/1800/2a279eb0f0ccbd5789cc783f6857d3cf0f82dd35.jpg', 'https://lid.zoocdn.com/u/2400/1800/e688f41445f02f57b7551db3cdddca65607ba4c8.jpg', 'https://lid.zoocdn.com/u/2400/1800/3607dfdf8c49e0e7d889842c08b465a8cbb2947b.jpg', 'https://lid.zoocdn.com/u/2400/1800/dba98a348e68e7ef2c14a65ab3d4e30f0a2294ff.jpg', 'https://lid.zoocdn.com/u/2400/1800/adf9ccfa7d9a59cc86b907d6d9c07e2fb5f70bd2.jpg', 'https://lid.zoocdn.com/u/2400/1800/042ffe72df2f99249ddb09bfd0a184615f95ccbf.jpg', 'https://lid.zoocdn.com/u/2400/1800/289ca925f6b662f56ff6021e219af8644c100887.jpg', 'https://lid.zoocdn.com/u/2400/1800/db474db12428b2dc23fc0fd7fd3f1e3e3e481564.jpg', 'https://lid.zoocdn.com/u/2400/1800/d763269b5f9102e1aa5fc3fe491d6bfa579eb606.jpg', 'https://lid.zoocdn.com/u/2400/1800/30bbed856e07cf57a09c69bf25a576194878ff10.jpg']","['Private garden', 'Off street parking', 'Central heating']",[],[],"65 Long Beach Road, Longwell Green, Bristol",Twelvetrees Accommodation Limited,0117 444 9463,2024-02-29T00:00:00,
4,66797769,https://www.zoopla.co.uk/to-rent/details/66797769/,flat,3 bed flat to rent,2024-03-05T19:22:14,5EE929AC-6F41-421F-93D9-26DE2E577E18,BS6 5BU,"Property Reference: 2010372.<br><br>***recently refurbished***water rates included***available 2nd April 2024***<br><br>We are delighted to present to the market a very spacious 3 double bedroom top floor flat which has recently been refurbished to a high standard. The property includes an open plan lounge and new kitchen (With fridge freezer and washer dryer included), a new bathroom with electric shower over bath, and all doors, walls and woodwork has been newly painted throughout. The property has gas central heating. There is also a spacious storage cupboard.<br><br>Located in very close proximity to St Andrews Park and a short walk away to the popular Gloucester Road full of local amenities and bus links to the Bristol City Centre.<br><br>Ideal for 3 sharers. Enquire now to arrange a suitable viewing time.<br><br><strong>Summary &amp; Exclusions:</strong><br>- Rent Amount: £1,860.00 per month (£429.23 per week)<br>- Deposit / Bond: £1,860.00<br>- 3 Bedrooms<br>- 1 Bathrooms<br>- Property comes unfurnished<br>- Available to move in from 13 April, 2024<br>- Minimum tenancy term is 6 months<br>- Maximum number of tenants is 3<br>- No Students<br>- No Pets, sorry<br>- No Smokers<br>- Not Suitable for Families / Children<br>- Bills not included<br>- No Parking Available<br>- No Garden Access<br>- EPC Rating: C<br><br><strong> If calling, please quote reference: 2010372 </strong><br><br><strong>Fees:</strong><br>You will <strong>not</strong> be charged any admin fees.<br><br>** Contact today to book a viewing and have the landlord show you round! **<br>Request Details form responded to 24/7, with phone bookings available 9am-9pm, 7 days a week.<br><br><i>OpenRent endeavours to make all property particulars as accurate and reliable as possible, however if you require any further clarification or information please contact us. When applying for a tenancy using the Rent Now process, you will be required to pay one month's rent and any deposit before moving in. This will be paid to OpenRent and released to the landlord once you have moved in. With OpenRent there are no administration fees to pay. </i><br><br><i>Property Reference two million ten thousand three hundred and seventy-two</i>","Walsingham Road, Bristol BS6",pre-owned,to_rent,51.471981,-2.584845,residential,1860.0,1860.0,2000.0,1750.0,,0.0,3.0,3.0,3.0,1,False,False,False,"['https://lid.zoocdn.com/u/2400/1800/47ceedc5b0a754ed4a193fe427718a22ebd4379c.jpg', 'https://lid.zoocdn.com/u/2400/1800/58f73927485ef3b076709a1f795dcfee1a7192b7.jpg', 'https://lid.zoocdn.com/u/2400/1800/aab88056715fcf90a7486e0a84879c5ec09310a3.jpg', 'https://lid.zoocdn.com/u/2400/1800/638b52737d7ec979e581a6cf28c57f69f476e49f.jpg', 'https://lid.zoocdn.com/u/2400/1800/4c1962c723b5ffa2a75772f4006e84ce626f7f74.jpg', 'https://lid.zoocdn.com/u/2400/1800/b7be1806039d29df27a8fc936da2d86ee1287263.jpg', 'https://lid.zoocdn.com/u/2400/1800/fa207673ef8cdcf9b12bc5e20c3021904e6bd715.jpg', 'https://lid.zoocdn.com/u/2400/1800/5facfb2ce807f91d6a3a5878a226eba653ffa0bb.jpg', 'https://lid.zoocdn.com/u/2400/1800/c2aaf1c296e6760df718de1e3c5ce53413848aa3.jpg', 'https://lid.zoocdn.com/u/2400/1800/42737c31f57dad4641cb7e42f29f87b7e26dabaf.jpg', 'https://lid.zoocdn.com/u/2400/1800/5ff1db2786993c9059ae9b3fdf3b663b2769e8cf.jpg', 'https://lid.zoocdn.com/u/2400/1800/28b3ee36a9f85bf7e28fca4b80574c216531aa5c.jpg', 'https://lid.zoocdn.com/u/2400/1800/726b8af909fe82bc769ecee0602e30435c7f270c.jpg']","['No Agent Fees', 'Property Reference Number: 2010372']",[],['https://lc.zoocdn.com/0f17dadf559760c720dff4c0ee39d01c2d084e3a.jpg'],"20 Wenlock Road, London",OpenRent,020 3542 2178,2024-04-13T00:00:00,
5,66387619,https://www.zoopla.co.uk/to-rent/details/66387619/,terraced,2 bed terraced house to rent,2024-01-12T12:36:16,715fa225-2689-4ca3-9d58-3f89d28dc4e6,BS30 9YX,Two bedroom unfurnished terrace house. Parking for one vehicle. Light and airy lounge. Kitchen with lots of cupboard space. Good size garden which is easy to maintain. Two double size bedrooms. Bathroom with shower over the bath. Gas Central Heating. UPVC windows. The property is situated in a quiet spot in Berenda Drive with local interesting walks. No smokers and no pets. Close to local amenities with a good public transport.,"Berenda Drive, Bristol BS30",pre-owned,to_rent,51.440493,-2.479816,residential,1250.0,1250.0,1250.0,1250.0,,1.0,2.0,2.0,2.0,1,False,False,False,"['https://lid.zoocdn.com/u/2400/1800/e4c145c5db2784d21364b20ec9d226ca3e89c3ba.jpg', 'https://lid.zoocdn.com/u/2400/1800/a4392a67bcdfc7250db5414fea8dd6552207de56.jpg', 'https://lid.zoocdn.com/u/2400/1800/81b63014cc14142503cd51f3e16739ec13d2bb64.jpg', 'https://lid.zoocdn.com/u/2400/1800/a6fc00df7e6968e2e30e36f67025d1c311757769.jpg', 'https://lid.zoocdn.com/u/2400/1800/1bd45114d83b6ff9501bc77a6026ac8fc9c63cf3.jpg', 'https://lid.zoocdn.com/u/2400/1800/d51cd44ca09b3ef37a179065b33e865664209c7f.jpg', 'https://lid.zoocdn.com/u/2400/1800/879e1369cceaf84bfe0fd4f6b86070363f3b7d69.jpg', 'https://lid.zoocdn.com/u/2400/1800/54fecfbc104f06980f9eed72bb207153504af900.jpg', 'https://lid.zoocdn.com/u/2400/1800/c768e6c2e0c0a80ba280b3134ac80257d54b52d8.jpg', 'https://lid.zoocdn.com/u/2400/1800/d0845276d4a7ca225c1b787bcf02b97b863e0c7b.jpg']","['Private garden', 'Off street parking', 'Central heating', 'Double glazing']",[],[],"65 Long Beach Road, Longwell Green, Bristol",Twelvetrees Accommodation Limited,0117 444 9463,2024-02-17T00:00:00,
6,53858480,https://www.zoopla.co.uk/to-rent/details/53858480/,terraced,1 bed terraced house to rent,2022-01-26T11:56:16,DD48C3CF-2437-4A54-9F4E-F4FBEB6E75B8,BS15 1LU,"Mid let (1-6 months). Bills included. Please quote HAN5L8 when calling in.<br><br>Please be aware a booking including the months of June, July and August will be priced at £1,350 pcm inc. Bills. All other months will be as advertised<br><br>Houst Lets is pleased to present this tastefully-decorated 1 bedroom home.<br><br>At Houst all our properties are fully furnished and ready to move in. With a fully equipped kitchen for your comfort and ease.<br><br>We offer a contact-free process, including self check-in and check-out along with electronic signature for lease and inventory.<br><br>All our properties are clean prior to move-in, in line with current guidelines.","Han5L8 - Handel Cossham Court, Bristol BS15. Bills Included.",pre-owned,to_rent,51.467362,-2.515296,residential,1250.0,1250.0,1250.0,1250.0,,1.0,1.0,1.0,1.0,1,False,False,False,"['https://lid.zoocdn.com/u/2400/1800/63adf0f4bc156852498f85dcf9d9f5fffab479b2.png', 'https://lid.zoocdn.com/u/2400/1800/e50633d736c7925aa7998f4e10d88b1786556dbb.png', 'https://lid.zoocdn.com/u/2400/1800/87720f53efeb1d7fb07dde6b984b130be6c51281.png', 'https://lid.zoocdn.com/u/2400/1800/dd5e2d5f2a27af2efed70fb728902a17f9e38e2f.png', 'https://lid.zoocdn.com/u/2400/1800/7a2b72ee318fde67f7edd41ced71837abc8f8a1c.png', 'https://lid.zoocdn.com/u/2400/1800/f02e20c81cecdbbf1a106ae111c631f4e2d01864.png', 'https://lid.zoocdn.com/u/2400/1800/30181837ea3112afebd3f0c85feb83b0b214335e.png', 'https://lid.zoocdn.com/u/2400/1800/ee3e21998e8953988e2d9ca4ca0d919f206baa5e.png', 'https://lid.zoocdn.com/u/2400/1800/37297877b0cf4abf78fe9a9ee6cff78ec9ebb997.png', 'https://lid.zoocdn.com/u/2400/1800/8499f74b1abdc1f0ef6e9b653306d4c55bd1f719.png', 'https://lid.zoocdn.com/u/2400/1800/5343382a06b7a0b6796a3df44d3740380cd66da2.png', 'https://lid.zoocdn.com/u/2400/1800/4e2a862d9748a0061f7603d8e985341f884b66af.png', 'https://lid.zoocdn.com/u/2400/1800/874dd0ce6203f055ef0cb3574388fb438d433a0a.png', 'https://lid.zoocdn.com/u/2400/1800/6da80c72e3b3e7212f065e30e78d32a017ee5dbb.png']","['Close to public transport', 'Fully Furnished', 'Bright and Airy', 'Free Parking on Premises', 'Indoor Fireplace', '24/7 self check-in via Lockbox', 'No HMO', 'Mid Let', 'Washing machine in the unit', 'Pets Not Allowed', 'Available to Students']",[],[],"14 St John's Square, Farringdon, London",Houst Lets,020 8115 9649,2024-04-26T00:00:00,
7,66525060,https://www.zoopla.co.uk/to-rent/details/66525060/,terraced,3 bed terraced house to rent,2024-01-31T01:06:25,0D93B4DA-AB0E-429B-B0AD-491EB36379F5,BS5 6EJ,"A wonderful, family home approx 5 years old, situated in the landmark Chocolate Factory development.<br><br>The home offers of a spacious open-plan living space, private garden and three bedrooms. This beautiful home is offered unfurnished and available from 18th March 2024.<br><br>Council Tax : C<br>Holding Deposit : £403.84<br>Security Deposit : £2,019.23<br><br>This fantastic three bedroom family home in The Chocolate Factory, an exciting redevelopment of the former Elizabeth Shaw Factory that made confectionary on the site for over 100 years.<br><br>The property fronts onto Co-Operation Road in the heart of Greenbank; a desired residential area with good access to major transport links, and the Bristol-to-Bath cycle path. Ideal for those looking for a family home, this three bedroom house is designed for modern living. The ground floor features an open plan arrangement with a fully integrated German engineered kitchen with ‘vintage oak’ flooring throughout and a cloakroom with two piece suite.<br><br>The light and bright first floor accommodates two doubles and a single bedroom, along with the family bathroom; complete with white gloss vanity unit, WC with concealed flush and bath with shower over, tiles by Porcelanosa and inset mirror.<br><br>Available from 18th March 2024 and offered unfurnished. White Goods included are,<br><br>- Induction Hob<br>- Electric Oven<br>- Fridge Freezer<br>- Dishwasher&lt;br /&gt;&lt;br /&gt;","Co-Operation Road, Greenbank, Bristol BS5",pre-owned,to_rent,51.467181,-2.554991,residential,1750.0,1750.0,1750.0,1750.0,,2.0,3.0,3.0,3.0,1,False,False,False,"['https://lid.zoocdn.com/u/2400/1800/4b726a8cbeceb07ba38a3c4541700a852ccc9c97.jpg', 'https://lid.zoocdn.com/u/2400/1800/06891981eb7ff05288c706a20659148ef538ed2f.jpg', 'https://lid.zoocdn.com/u/2400/1800/5165158b97c5f951f331c48ede82ba3f2a42b407.jpg', 'https://lid.zoocdn.com/u/2400/1800/4af05440b3c0a5c2bd820d8bd6eca9921a1dd0df.jpg', 'https://lid.zoocdn.com/u/2400/1800/b26a2d52603ba28f70bf1c822be73dec25a57959.jpg', 'https://lid.zoocdn.com/u/2400/1800/d2f86d7f3b7c0fceb632715a1c20cef9b840e5e9.jpg', 'https://lid.zoocdn.com/u/2400/1800/3bb607e36a17b807b8c87cf69b74bbb1dcdde79e.jpg', 'https://lid.zoocdn.com/u/2400/1800/b20f38c90da3534ccf147821bd36f0a1a5a04344.jpg']","['Approx 5 Years Old', 'BS5 Location', 'Part of the Chocloate Factory Development', 'Offered Unfurnished', 'Available from 18th March 2024', 'Gas Central Heating', 'Modern Kitchen &amp; Bathroom', 'Two Reception Rooms']",['https://assets.reapit.net/mac/live/pdf.php?p=BIL220135&t=L'],['https://lc.zoocdn.com/694837d8af3face7c5b7ae5f2dbc1c12806e006b.jpg'],"94 Gloucester Road, Bishopston, Bristol",CJ Hole Bishopston,0117 444 9753,2024-03-18,
8,59016725,https://www.zoopla.co.uk/to-rent/details/59016725/,link_detached,3 bed link detached house to rent,2024-03-06T17:54:59,BD749795-4EAF-42AA-9B17-75CBA81A49A9,BS34 8UQ,"This modern and spacious three bedroom house is ideally located just a short walk from Parkway Train Station. The property boasts a large living room, a modern kitchen, separate dining room, downstairs WC and a large garden with rear access to the garage.<br><br>Upstairs there are three good size bedrooms and a family bathroom with a shower over the bath. Extra benefits include a garage, gas central heating and parking on the drive for 3 cars. This property has recently been refurbished to a very high standard.<br><br>Stoke Gifford is an excellent location for anyone commuting to Bristol Parkway Station, Aztec West, MoD, Filton Business Park and the M32, M4 and M5 motorways. Abbey Wood retail park is only 1.5 miles away with a superb choice of shops and restaurants. Bristol Parkway train station is only 0.4 mile on foot. St Michaels Primary School is only 0.2 mile.<br><br>• Council tax band: C<br>• Rent: £1650 pcm<br>• Damage deposit: £1750<br>• Holding deposit: £380<br>• Available now<br>• No smokers&lt;br /&gt;&lt;br /&gt;","Samian Way, Stoke Gifford, Bristol BS34",pre-owned,to_rent,51.518686,-2.548087,residential,1650.0,1650.0,1750.0,1500.0,,2.0,3.0,3.0,3.0,2,False,False,False,"['https://lid.zoocdn.com/u/2400/1800/d537f33a98f180e8199e6f97de7145fb2091eb8d.jpg', 'https://lid.zoocdn.com/u/2400/1800/6499108b052804921498591cc824427229d34aa9.jpg', 'https://lid.zoocdn.com/u/2400/1800/53c31585cc1e41b11f8225e09878f45e5a13ef56.jpg', 'https://lid.zoocdn.com/u/2400/1800/a82c4542fb84ebaecfe5f514c2938f47dbcf3bbb.jpg', 'https://lid.zoocdn.com/u/2400/1800/9ba8d89f01a888caef74a8a157c63f9dda8a0635.jpg', 'https://lid.zoocdn.com/u/2400/1800/4fbeec16ce4833413112e5f17ba956015abfd924.jpg', 'https://lid.zoocdn.com/u/2400/1800/8c6e67f6e2f8cab09871c801914b8acb06d9f3b6.jpg', 'https://lid.zoocdn.com/u/2400/1800/5d9114adf81ad4af9a855ab8aae42c1d9d4e4e4f.jpg', 'https://lid.zoocdn.com/u/2400/1800/16638e26710a17cff26286d7a7948c40e3be547e.jpg', 'https://lid.zoocdn.com/u/2400/1800/34cbd887a47154e9e2658c7541d79ae69ba30aad.jpg', 'https://lid.zoocdn.com/u/2400/1800/81bd28de86bae444fda6656db301d4c32bab45f9.jpg', 'https://lid.zoocdn.com/u/2400/1800/13e2127455b7cea41aebd5b28b5b5aa83d761a3d.jpg']",[],[],[],"Suite 3, The Mall, Willow Brook Centre, Savages Wood Road, Bradley Stoke, Bristol",CJ Hole Bradley Stoke,01454 558950,2024-04-01,
9,66664533,https://www.zoopla.co.uk/to-rent/details/66664533/,terraced,4 bed terraced house to rent,2024-02-17T04:26:48,25094b86-a203-4e47-b19a-88050750fcac,BS16 4LW,"**available for 2024/2025 academic year**<br>This impressive Victorian property is located in the Fishponds area, offering an up-to-date home. Upon entering the property you are greeted by a bright hallway which leads to the spacious living/dining room and the first of the four roomy double bedrooms. Further along the hallway is the kitchen which comes with newly integrated high gloss cupboards and modern appliances. Adjoining the kitchen is the family bathroom which features modern fixtures and fittings. To the first floor are the three remaining double bedrooms which all offer tenants space in abundance.<br><br>This property further benefits from a private rear garden.<br><br>Located in the highly sought-after area of Fishponds, this property is situated in an ideal area for students as the Glenside campus of the University of the West of England is located here and the main Frenchay campus is located just a short bus journey away. Fishponds offers a number of amenities including many bars, shops and eateries. This area also benefits from a lot of green spaces and is within close proximity to all of Bristol’s main commuter links.<br><br>Managed by ARLA registered agent Snadstone which has a 24-hour emergency repairs service.<br><br>If you are not able to attend a viewing, Sandstone offer live interactive viewings through Skype, Facetime, Whatsapp Video etc to offer flexibility for you to view and secure a property with us.Council tax band: B, EPC rating: C. Landlord Registration Number: Exempt from lr in England. Letting Agent Registration Number: 2006006.<br>Deposit: £3,000","Thicket Road, Fishponds, Bristol BS16",pre-owned,to_rent,51.480354,-2.515659,residential,3000.0,3000.0,3000.0,3000.0,,0.0,4.0,4.0,4.0,1,False,False,False,"['https://lid.zoocdn.com/u/2400/1800/50c3812425719bd4f2ece681deb736ddaffbe0f1.jpg', 'https://lid.zoocdn.com/u/2400/1800/7ed5419a5a8b7efba5acf9e475ac9e6cb5ff7649.jpg', 'https://lid.zoocdn.com/u/2400/1800/8976cc2da1a444e065f3ab4510c31a5b76614950.jpg', 'https://lid.zoocdn.com/u/2400/1800/cd01fce2c4f47a2d168b9170315df9b59201ef23.jpg', 'https://lid.zoocdn.com/u/2400/1800/fb13ae823d51915514815f4ac1a8299519ded202.jpg', 'https://lid.zoocdn.com/u/2400/1800/1496e3c2eff2241b2ed786f25005bf1a1436107d.jpg', 'https://lid.zoocdn.com/u/2400/1800/5c9d05b89b3472ca33a39b29bfbe7e4bbb5eee0c.jpg', 'https://lid.zoocdn.com/u/2400/1800/c22128d6608542e0cdd2b7fd72ede01c98e7e936.jpg', 'https://lid.zoocdn.com/u/2400/1800/6aa33fab45d9fab966d07425dbe3774a8367a2f8.jpg', 'https://lid.zoocdn.com/u/2400/1800/a03861d4d8fd1502dbcbc0157d8612f99a18a202.jpg', 'https://lid.zoocdn.com/u/2400/1800/d014cd5170d85fbeacd2b9d5d3e2668278f1ccbd.jpg', 'https://lid.zoocdn.com/u/2400/1800/2136b571f73fa56235821a168b8cef6c9fac191a.jpg', 'https://lid.zoocdn.com/u/2400/1800/306bc12a4f3bd43b2d40a4a4bd7e9ca1d1d9385f.jpg', 'https://lid.zoocdn.com/u/2400/1800/58dd1b094fbde4d5fad5da4760f0eb26ce65bb28.jpg', 'https://lid.zoocdn.com/u/2400/1800/ffc2b473a01fae45783277babc50a69bc2e655be.jpg', 'https://lid.zoocdn.com/u/2400/1800/77618bca59bb987cda19f62642292fd43fd4e955.jpg', 'https://lid.zoocdn.com/u/2400/1800/1a5da5d43021c0887bbea2557cf8d2e3c01d2204.jpg', 'https://lid.zoocdn.com/u/2400/1800/3cad7202f0f2e661fa154b4e29ad145aec7c1dcf.jpg']","['Fridge Freezer', 'Central Heating', 'Private Parking', 'Shower', 'No Smoking', 'No pets', 'On Street Parking']",[],['https://lc.zoocdn.com/8ee0c1abdbcb1928209cb009c55d51cd40c812c3.jpg'],"14 Coates Crescent, Edinburgh",Sandstone UK,0191 372 6020,2024-08-20T00:00:00,
